t,x,y,yaw,v,w,v_cmd,w_cmd
5.9,6.80600816,2.04628701,-0.73993692,0.25090355,-0.08921142,0.25,-0.21692998
6.0,6.82487664,2.02904275,-0.74910602,0.24894087,-0.08954913,0.25,-0.21766446
6.1,6.8434267,2.01163702,-0.75834289,0.24547404,-0.0893902,0.25,-0.21766446
6.2,6.8617001,1.99476067,-0.76744963,0.24725873,-0.09017644,0.25,-0.22031951
6.3,6.87982132,1.97792694,-0.77679305,0.24237436,-0.09226511,0.25,-0.22031951
6.4,6.89764762,1.96052368,-0.78628393,0.2450544,-0.09699571,0.25,-0.23193651
6.5,6.9154177,1.94260231,-0.79618431,0.25247327,-0.11346866,0.25,-0.21451798
6.6,6.93320482,1.92428207,-0.80646886,0.25561648,-0.10925924,0.25,-0.21451798
6.7,6.95109121,1.90543296,-0.8174825,0.25587694,-0.09680729,0.25,-0.2140107
6.8,6.96866821,1.88627236,-0.82638062,0.25667999,-0.084599,0.25,-0.2067186
6.9,6.98607761,1.86677901,-0.83480495,0.25637791,-0.08009644,0.25,-0.2067186
7.0,7.00328699,1.84759786,-0.84351051,0.2480919,-0.08970969,0.25,-0.21122296
7.1,7.02033849,1.82848759,-0.85286421,0.25436508,-0.09416785,0.25,-0.20872871
7.2,7.0371861,1.80921277,-0.86219594,0.24589283,-0.09025852,0.25,-0.20872871
7.3,7.05361415,1.78995854,-0.87129165,0.24626258,-0.08232731,0.25,-0.2072276
7.4,7.06448001,1.77758383,-0.87671511,0.24347308,-0.07909385,0.25,-0.2072276
7.5,7.08057932,1.75865106,-0.88487525,0.24115653,-0.07835019,0.25,-0.21288557
7.6,7.09657137,1.73915246,-0.89212799,0.25171715,-0.09350724,0.25,-0.21288557
7.7,7.11250983,1.71918208,-0.90008079,0.24714492,-0.08910463,0.25,-0.21357887
7.8,7.12838779,1.69922983,-0.90931123,0.2559168,-0.09296242,0.25,-0.21356313
7.9,7.14421018,1.6786565,-0.9190873,0.25726393,-0.08501948,0.25,-0.21356313
8.0,7.1597854,1.65759561,-0.92724062,0.25056855,-0.08347361,0.25,-0.22418155
8.1,7.17512706,1.6368697,-0.93599514,0.2536957,-0.09022836,0.25,-0.22418155
8.2,7.19015991,1.61628733,-0.94584684,0.24285192,-0.09127433,0.25,-0.21735915
8.3,7.20502489,1.59557418,-0.95591729,0.25004557,-0.09572687,0.25,-0.21735915
8.4,7.21978746,1.57468999,-0.96569659,0.2456639,-0.09526185,0.25,-0.21722858
8.5,7.23414504,1.55380992,-0.97541188,0.24186522,-0.08643437,0.25,-0.20862205
8.6,7.24831735,1.53309187,-0.98292525,0.25395922,-0.07249482,0.25,-0.21185162
8.7,7.26238324,1.51174484,-0.99117653,0.26015574,-0.08161302,0.25,-0.21185162
8.8,7.27627466,1.49034962,-0.99989361,0.26373441,-0.07953671,0.25,-0.22958889
8.9,7.29002124,1.46885845,-1.00941813,0.25025811,-0.10606813,0.25,-0.22958889
9.0,7.2989757,1.4545154,-1.01531275,0.24541025,-0.06600616,0.25,-0.22845008
9.1,7.31247914,1.43267753,-1.02348843,0.2493077,-0.1105989,0.25,-0.22845008
9.2,7.32572024,1.41096754,-1.03393161,0.2501862,-0.07267739,0.25,-0.21290726
9.3,7.33874839,1.38913034,-1.04134115,0.24828935,-0.07734443,0.25,-0.21221906
9.4,7.35157856,1.36708878,-1.04913228,0.2480761,-0.07200458,0.25,-0.21221906
9.5,7.36425177,1.34490624,-1.05730143,0.25623383,-0.08274392,0.25,-0.21039542
9.6,7.37671811,1.32259429,-1.06697468,0.25508213,-0.09901375,0.25,-0.21039542
9.7,7.38946167,1.29982692,-1.07713556,0.25564207,-0.10290108,0.25,-0.215902
9.8,7.40157762,1.27718704,-1.08683649,0.23934298,-0.0815598,0.25,-0.21451257
9.9,7.4133926,1.25467892,-1.09436047,0.24781713,-0.07289786,0.25,-0.21451257
10.0,7.4250312,1.2320707,-1.10167396,0.2483317,-0.07063828,0.25,-0.21559971
10.1,7.43649808,1.20941747,-1.10949566,0.24186433,-0.09026015,0.25,-0.22146785
10.2,7.44757735,1.18700746,-1.11918967,0.24546865,-0.0976483,0.25,-0.22146785
10.3,7.45845991,1.16435603,-1.12959006,0.25458047,-0.09452954,0.25,-0.23459796
10.4,7.46926448,1.14139927,-1.13777097,0.24861276,-0.07136761,0.25,-0.23459796
10.5,7.47990427,1.11827832,-1.14513475,0.2542787,-0.06970084,0.25,-0.23314983
10.6,7.49043174,1.09502968,-1.15261563,0.25214557,-0.07392398,0.25,-0.22862665
10.7,7.49738687,1.07945569,-1.15768855,0.25249622,-0.09047127,0.25,-0.22862665
10.8,7.50805248,1.05558045,-1.16778732,0.25647421,-0.10145069,0.25,-0.22862665
10.9,7.51848414,1.03155292,-1.17854528,0.25584459,-0.10143134,0.25,-0.2343233
11.0,7.52835451,1.00769416,-1.18980809,0.25107952,-0.1398502,0.25,-0.23454118
11.1,7.5377246,0.98383573,-1.20019568,0.26414307,-0.08842587,0.25,-0.23454118
11.2,7.54683881,0.96030148,-1.21022673,0.24468795,-0.13617398,0.25,-0.23402568
11.3,7.55560773,0.93682754,-1.22096146,0.24307122,-0.09683296,0.25,-0.23402568
11.4,7.56409128,0.91343045,-1.23078733,0.24600967,-0.09440118,0.25,-0.24020028
11.5,7.5722892,0.88993609,-1.24145326,0.25375284,-0.1088937,0.25,-0.24020028
11.6,7.58042566,0.86592463,-1.25045795,0.25102598,-0.0635621,0.25,-0.22365602
11.7,7.58839716,0.84166109,-1.25716221,0.25176579,-0.06464811,0.25,-0.23512967
11.8,7.59630187,0.81658435,-1.2638928,0.2615658,-0.07549874,0.25,-0.23512967
11.9,7.60416797,0.7916508,-1.27393034,0.25909832,-0.13154227,0.25,-0.2185712
12.0,7.61157781,0.7667206,-1.28608436,0.25308648,-0.09929467,0.25,-0.21894924
12.1,7.61884956,0.74173557,-1.2956005,0.24989076,-0.08664117,0.25,-0.21894924
12.2,7.62581523,0.71697466,-1.30561228,0.24881239,-0.084564,0.25,-0.22256321
12.3,7.63023007,0.70104344,-1.30970438,0.23847614,-0.0499429,0.25,-0.22256321
12.4,7.63667511,0.67716886,-1.31546341,0.23596654,-0.05174268,0.25,-0.22022101
12.5,7.64300047,0.65359035,-1.32042284,0.24137562,-0.05516641,0.25,-0.22022101
12.6,7.6492116,0.62947582,-1.3283369,0.24601822,-0.10156479,0.25,-0.22196002
12.7,7.65512307,0.60520289,-1.33822963,0.23864917,-0.10615095,0.25,-0.22196002
12.8,7.66078066,0.58040311,-1.34892851,0.24514006,-0.10436505,0.25,-0.23361883
12.9,7.66643569,0.55498524,-1.3579925,0.2569061,-0.06783224,0.25,-0.23399238
13.0,7.67185749,0.5289135,-1.3632216,0.2646253,-0.04940949,0.25,-0.23399238
13.1,7.67715293,0.50257287,-1.36777585,0.26421753,-0.04810291,0.25,-0.23791913
13.2,7.68242955,0.47666,-1.37479367,0.25119027,-0.09168016,0.25,-0.23791913
13.3,7.68735779,0.45115637,-1.38397487,0.25603905,-0.10539506,0.25,-0.24603051
13.4,7.6920458,0.42624135,-1.39537316,0.25235439,-0.11832653,0.25,-0.26467581
13.5,7.6962994,0.40152768,-1.40600248,0.26277019,-0.09413976,0.25,-0.26467581
13.6,7.70036243,0.37698017,-1.41548609,0.23448025,-0.07979627,0.25,-0.25877055
13.7,7.7042103,0.3525107,-1.42387529,0.23591448,-0.07368936,0.25,-0.26117823
13.8,7.70781437,0.32839085,-1.42957893,0.24141243,-0.06512403,0.25,-0.26117823
13.9,7.71136486,0.30324291,-1.43676092,0.26397643,-0.07885991,0.25,-0.26633826
14.0,7.71364663,0.28623844,-1.44319656,0.25695103,-0.11524271,0.25,-0.26633826
14.1,7.71684832,0.26022518,-1.45172425,0.26644133,-0.05834133,0.25,-0.26468221
14.2,7.71989656,0.2337667,-1.45720537,0.25549476,-0.05852234,0.25,-0.26468221
14.3,7.7227689,0.20732363,-1.4626611,0.25857955,-0.05096021,0.25,-0.26395027
14.4,7.72558374,0.18165338,-1.47100584,0.24444013,-0.11058524,0.25,-0.27200946
14.5,7.72810015,0.15624131,-1.4840465,0.2462478,-0.13072004,0.25,-0.27200946
14.6,7.73031585,0.13084095,-1.49777602,0.25850567,-0.13757708,0.25,-0.27076932
14.7,7.7321124,0.10575673,-1.51121543,0.25035,-0.12895828,0.25,-0.27076932
14.8,7.73343653,0.0807947,-1.52184428,0.25667119,-0.09413098,0.25,-0.26425953
14.9,7.73465895,0.05574562,-1.53032796,0.24818042,-0.06909198,0.25,-0.26053376
15.0,7.73562152,0.03026837,-1.54055508,0.26207084,-0.10175196,0.25,-0.26053376
15.1,7.73640933,0.00469648,-1.54984214,0.26366582,-0.09930578,0.25,-0.26816604
15.2,7.73686499,-0.0209132,-1.56008577,0.26039374,-0.1083068,0.25,-0.27006248
15.3,7.73699518,-0.04717441,-1.5715672,0.24947088,-0.08989589,0.25,-0.27006248
15.4,7.73702776,-0.07303594,-1.58135172,0.25010324,-0.1223358,0.25,-0.26428497
15.5,7.73674044,-0.09862231,-1.59304267,0.25844134,-0.11759382,0.25,-0.273124
15.6,7.73666052,-0.11557455,-1.60132334,0.25446061,-0.12340161,0.25,-0.273124
