t,x,y,yaw,v,w,v_cmd,w_cmd
0.0,6.39871595,-2.34628548,-2.64806249,0.25539657,-0.08968451,0.25,-0.20537972
0.1,6.37641044,-2.3582004,-2.65828423,0.24287327,-0.09776678,0.25,-0.16792184
0.2,6.35426658,-2.36989192,-2.66514869,0.24300375,-0.05818412,0.25,-0.16792184
0.3,6.33170459,-2.38154323,-2.67091101,0.2555046,-0.05950436,0.25,-0.17610973
0.4,6.30895201,-2.39307092,-2.67706579,0.24577435,-0.07253258,0.25,-0.17610973
0.5,6.28620635,-2.40450438,-2.68446021,0.26012041,-0.09584705,0.25,-0.19651171
0.6,6.26319489,-2.41570398,-2.69329777,0.25133603,-0.09102633,0.25,-0.18722484
0.7,6.24013692,-2.42688728,-2.70159506,0.25117,-0.08318409,0.25,-0.18722484
0.8,6.22495422,-2.43410402,-2.7070838,0.24973981,-0.07758544,0.25,-0.17989347
0.9,6.20183348,-2.44477881,-2.71344486,0.25298814,-0.05924347,0.25,-0.17989347
1.0,6.17860153,-2.45532785,-2.71973466,0.24670796,-0.05882914,0.25,-0.18385406
1.1,6.15532841,-2.46575369,-2.72650777,0.24750396,-0.08379916,0.25,-0.18385406
1.2,6.13197737,-2.47605176,-2.73531116,0.25476619,-0.08470287,0.25,-0.18400319
1.3,6.10844425,-2.48608454,-2.74423919,0.25872211,-0.08457746,0.25,-0.18111032
1.4,6.08463585,-2.49603728,-2.75311522,0.24156769,-0.0974327,0.25,-0.18111032
1.5,6.06097229,-2.50566903,-2.75970194,0.2487036,-0.05813471,0.25,-0.18125403
1.6,6.03729459,-2.51509749,-2.76551743,0.25634122,-0.05509066,0.25,-0.18326144
1.7,6.01357106,-2.52443219,-2.77141174,0.25059237,-0.06422358,0.25,-0.18326144
1.8,5.99008294,-2.53346936,-2.77904701,0.24326047,-0.077632,0.25,-0.17803002
1.9,5.96649993,-2.54234804,-2.78756778,0.24491536,-0.09074057,0.25,-0.17803002
2.0,5.94264634,-2.55109898,-2.79540175,0.24967056,-0.05785465,0.25,-0.17751743
2.1,5.91860442,-2.55970785,-2.80115885,0.25589017,-0.05646294,0.25,-0.17901568
2.2,5.89452747,-2.56816997,-2.80699524,0.2475786,-0.05490217,0.25,-0.17901568
2.3,5.87030095,-2.57651002,-2.81317634,0.25079119,-0.07340738,0.25,-0.18633051
2.4,5.8457435,-2.58499721,-2.82127873,0.260564,-0.08226939,0.25,-0.20589237
2.5,5.82931723,-2.59055618,-2.82708078,0.25711566,-0.09380828,0.25,-0.20589237
2.6,5.80481146,-2.59841904,-2.83607725,0.25320644,-0.0805682,0.25,-0.20589237
2.7,5.78040334,-2.60601228,-2.84348705,0.24583258,-0.06377694,0.25,-0.20540509
2.8,5.7561129,-2.61345324,-2.84925561,0.25072428,-0.05682104,0.25,-0.2113117
2.9,5.73211463,-2.62069165,-2.85599215,0.24848585,-0.08109112,0.25,-0.21496217
3.0,5.7081912,-2.62764853,-2.86447128,0.23864694,-0.08555599,0.25,-0.21496217
3.1,5.68396757,-2.63444086,-2.87462875,0.24665532,-0.10365068,0.25,-0.21368147
3.2,5.65937367,-2.64107539,-2.88339324,0.25833399,-0.06868368,0.25,-0.21368147
3.3,5.63455864,-2.64752424,-2.88979407,0.25727878,-0.06651047,0.25,-0.2209524
3.4,5.60980125,-2.6538343,-2.89643229,0.25081704,-0.06915541,0.25,-0.21373802
3.5,5.58450018,-2.660092,-2.90528946,0.25379104,-0.08781087,0.25,-0.21373802
3.6,5.55918263,-2.66624189,-2.91458407,0.260631,-0.09447414,0.25,-0.21227418
3.7,5.53400505,-2.67209971,-2.92457474,0.25874292,-0.11192294,0.25,-0.21227418
3.8,5.50889827,-2.67749198,-2.93597938,0.24014087,-0.0948144,0.25,-0.20798113
3.9,5.48400276,-2.68258582,-2.94394692,0.25768138,-0.06263738,0.25,-0.19687846
4.0,5.45967306,-2.68747912,-2.94874678,0.23879042,-0.04814574,0.25,-0.19687846
4.1,5.44344931,-2.69069437,-2.9522013,0.24148717,-0.05568583,0.25,-0.19749743
4.2,5.41899674,-2.69546366,-2.95823769,0.24867305,-0.06597719,0.25,-0.19749743
4.3,5.39446838,-2.69994676,-2.96515745,0.24757815,-0.06833451,0.25,-0.20193818
4.4,5.36952751,-2.70439362,-2.97209977,0.25048936,-0.05594562,0.25,-0.20193818
4.5,5.34421708,-2.7086615,-2.97760715,0.25816435,-0.04263529,0.25,-0.19807705
4.6,5.31806327,-2.71285464,-2.98185587,0.25324638,-0.03857632,0.25,-0.19832152
4.7,5.29189311,-2.71698202,-2.98572003,0.26211819,-0.04555543,0.25,-0.19832152
4.8,5.26606555,-2.72090789,-2.99131546,0.25228307,-0.07453374,0.25,-0.19599082
4.9,5.24046045,-2.7247908,-3.00026287,0.24335447,-0.10043553,0.25,-0.19676249
5.0,5.2152149,-2.72824165,-3.01068017,0.25125955,-0.10102818,0.25,-0.19676249
5.1,5.19036651,-2.73155054,-3.01839116,0.23951945,-0.04616003,0.25,-0.17937892
5.2,5.16580608,-2.73465415,-3.02256433,0.2437104,-0.04456923,0.25,-0.17937892
5.3,5.14109889,-2.73761919,-3.0268533,0.24532354,-0.06013835,0.25,-0.16802198
5.4,5.1162658,-2.74053513,-3.0327684,0.24825142,-0.05010862,0.25,-0.16206494
5.5,5.09108508,-2.74324711,-3.03759228,0.25733962,-0.04687575,0.25,-0.16206494
5.6,5.06561616,-2.745872,-3.04260679,0.24172616,-0.04204344,0.25,-0.15201279
5.7,5.0396682,-2.7483799,-3.04594792,0.25136041,-0.03324185,0.25,-0.15201279
5.8,5.02245545,-2.75003943,-3.04826963,0.25712944,-0.0344039,0.25,-0.14749659
5.9,4.99657691,-2.75245233,-3.05156719,0.25571431,-0.02982838,0.25,-0.14749659
6.0,4.97059311,-2.7547744,-3.05484471,0.24957163,-0.03882949,0.25,-0.14337679
6.1,4.94518658,-2.7569928,-3.0598589,0.25198683,-0.05222678,0.25,-0.13823129
6.2,4.91984202,-2.75902866,-3.06492563,0.25488244,-0.05392169,0.25,-0.13823129
6.3,4.89474529,-2.76093999,-3.06890614,0.24476329,-0.03658806,0.25,-0.13477601
6.4,4.86964198,-2.76274713,-3.07284889,0.24277925,-0.03579123,0.25,-0.12424121
6.5,4.84448673,-2.76444715,-3.07615482,0.24569984,-0.02770492,0.25,-0.12424121
6.6,4.81927331,-2.76607155,-3.07937277,0.25511649,-0.03371969,0.25,-0.1167062
6.7,4.79382836,-2.76762203,-3.08339913,0.24428299,-0.04020585,0.25,-0.1167062
6.8,4.76816439,-2.76910904,-3.08737751,0.25615859,-0.03089727,0.25,-0.11422506
6.9,4.74233801,-2.77051328,-3.09004895,0.25316707,-0.0231339,0.25,-0.10489894
7.0,4.71660255,-2.77185958,-3.09259433,0.25684703,-0.02992847,0.25,-0.10489894
7.1,4.69093054,-2.77312641,-3.09544978,0.25095038,-0.03450302,0.25,-0.10024939
7.2,4.66554256,-2.77424208,-3.09908599,0.25371057,-0.03432404,0.25,-0.10024939
7.3,4.6400519,-2.77533761,-3.10255544,0.24986126,-0.03781306,0.25,-0.09802878
7.4,4.62310473,-2.7759593,-3.10525649,0.24562633,-0.03448087,0.25,-0.09802878
7.5,4.60626696,-2.77657501,-3.10701032,0.24673445,-0.02133933,0.25,-0.09005207
7.6,4.5725095,-2.77769203,-3.10980556,0.24515346,-0.02347516,0.25,-0.09005207
7.7,4.54715178,-2.77846761,-3.11184462,0.25029436,-0.01984992,0.25,-0.08201314
