t,x,y,yaw,v,w,v_cmd,w_cmd
0.0,-3.2115553,0.14281969,1.51889894,0.26039406,-0.07560846,0.25,-0.18924102
0.1,-3.21019839,0.16877543,1.51330669,0.2616628,-0.06306666,0.25,-0.18924102
0.2,-3.20864788,0.19505029,1.50860238,0.26079105,-0.02759175,0.25,-0.19082736
0.3,-3.20702927,0.22102598,1.50413262,0.24848626,-0.07717872,0.25,-0.19082736
0.4,-3.20530927,0.24645245,1.49712316,0.25445086,-0.06267664,0.25,-0.19447145
0.5,-3.2032928,0.27171569,1.48926633,0.25000859,-0.08696562,0.25,-0.20015948
0.6,-3.20117477,0.29683218,1.4797359,0.25129943,-0.0836919,0.25,-0.20015948
0.7,-3.19879146,0.32191028,1.47256228,0.24078692,-0.0679828,0.25,-0.19995656
0.8,-3.19716065,0.33858801,1.46776433,0.2389435,-0.07319046,0.25,-0.19995656
0.9,-3.19453906,0.36342228,1.46107126,0.25481245,-0.06096167,0.25,-0.19927675
1.0,-3.19165611,0.3886374,1.45411702,0.24588477,-0.06477017,0.25,-0.19927675
1.1,-3.18858045,0.41420725,1.44794099,0.25786376,-0.06088202,0.25,-0.20155546
1.2,-3.18535075,0.44003229,1.44142812,0.25677793,-0.04991602,0.25,-0.20622309
1.3,-3.18201787,0.4661009,1.43623164,0.2572691,-0.04932433,0.25,-0.20622309
1.4,-3.17855453,0.49201274,1.43088529,0.25320117,-0.06424303,0.25,-0.20584466
1.5,-3.174948,0.51748507,1.42397365,0.2546309,-0.06814598,0.25,-0.20958038
1.6,-3.17117256,0.54265283,1.41687146,0.25248843,-0.0691327,0.25,-0.20958038
1.7,-3.16718756,0.56767659,1.4096439,0.25001923,-0.08999602,0.25,-0.21212763
1.8,-3.16304635,0.59244686,1.39987973,0.24560912,-0.09058387,0.25,-0.21212763
1.9,-3.15878969,0.61708732,1.39151224,0.2406075,-0.08239272,0.25,-0.21431325
2.0,-3.15446123,0.64168719,1.38331868,0.24745656,-0.07471935,0.25,-0.21431325
2.1,-3.14960407,0.66663854,1.3757296,0.23625788,-0.07146267,0.25,-0.21178479
2.2,-3.14456046,0.69183745,1.36700114,0.2450188,-0.08047662,0.25,-0.2151462
2.3,-3.13933744,0.71722123,1.35775772,0.24777316,-0.09831973,0.25,-0.2151462
2.4,-3.13382156,0.74249912,1.34975133,0.24962971,-0.09250169,0.25,-0.21076042
2.5,-3.13013902,0.75909672,1.34413432,0.23926558,-0.07047095,0.25,-0.21076042
2.6,-3.12448089,0.78352138,1.33731005,0.2484154,-0.08645075,0.25,-0.20931822
2.7,-3.11880804,0.80831197,1.32766864,0.25318275,-0.09041658,0.25,-0.20931822
2.8,-3.11267862,0.8330234,1.31954761,0.25194644,-0.08559733,0.25,-0.20769079
2.9,-3.10628372,0.85750784,1.30960443,0.24549929,-0.09773193,0.25,-0.20907625
3.0,-3.09973943,0.88178928,1.30134434,0.24767377,-0.11335952,0.25,-0.20907625
3.1,-3.09293746,0.90635293,1.2901974,0.24394445,-0.09845238,0.25,-0.21106261
3.2,-3.08575848,0.93091514,1.27925373,0.26197509,-0.09562069,0.25,-0.21106261
3.3,-3.07839033,0.95537668,1.27085442,0.24479092,-0.07943033,0.25,-0.20443039
3.4,-3.07084587,0.97977335,1.26214031,0.24048934,-0.09818905,0.25,-0.20691044
3.5,-3.06313301,1.00418439,1.25248104,0.25570086,-0.10515314,0.25,-0.20691044
3.6,-3.05514314,1.02763825,1.24566514,0.24489698,-0.05985941,0.25,-0.20807686
3.7,-3.04703026,1.05117156,1.23927217,0.24765116,-0.0871657,0.25,-0.20807686
3.8,-3.0388612,1.07527307,1.22933196,0.24604538,-0.09481746,0.25,-0.20876286
3.9,-3.03056284,1.09926926,1.21912952,0.24790013,-0.10383129,0.25,-0.20876286
4.0,-3.02194894,1.12333988,1.20985474,0.25691084,-0.06584786,0.25,-0.20868327
4.1,-3.01587129,1.13975802,1.20557599,0.25700027,-0.05933362,0.25,-0.20868327
4.2,-3.00655553,1.16443422,1.19932683,0.2617956,-0.06050342,0.25,-0.20570322
4.3,-2.9972023,1.1884488,1.1900734,0.25075108,-0.12963535,0.25,-0.21063646
4.4,-2.9875694,1.21216151,1.17884129,0.26043734,-0.08667474,0.25,-0.21063646
4.5,-2.97771958,1.23571958,1.17098009,0.26357186,-0.06874225,0.25,-0.21020926
4.6,-2.96792096,1.25889486,1.16186991,0.25617884,-0.09987456,0.25,-0.20440868
4.7,-2.95773385,1.2818815,1.15279917,0.24838138,-0.07856671,0.25,-0.20440868
4.8,-2.94746109,1.30493699,1.14383035,0.24880822,-0.10101813,0.25,-0.20472904
4.9,-2.93707423,1.32807779,1.1336042,0.2498152,-0.09812998,0.25,-0.20312487
