t,x,y,yaw,v,w,v_cmd,w_cmd
0.0,3.1453252,2.75051068,0.00433064,0.25039399,-0.00050042,0.25,-0.00426381
0.1,3.17083602,2.75062189,0.00425083,0.25016041,-0.0005578,0.25,-0.00426381
0.2,3.19635058,2.75072999,0.00415711,0.25034971,-0.00131141,0.25,-0.00625492
0.3,3.22187374,2.75083542,0.00399175,0.25024541,-0.001595,0.25,-0.00625492
0.4,3.24739549,2.7509381,0.00382986,0.25054316,-0.00116842,0.25,-0.00493117
0.5,3.27290748,2.75103636,0.00370216,0.24992203,-0.00093207,0.25,-0.00493117
0.6,3.29840579,2.75112848,0.00353887,0.25019121,-0.00200224,0.25,-0.00726518
0.7,3.32390306,2.75121326,0.00337129,0.24940389,-0.00119394,0.25,-0.00719026
0.8,3.34090274,2.75126886,0.00326132,0.2503446,-0.00153481,0.25,-0.00719026
0.9,3.36640157,2.75134979,0.0030706,0.25014886,-0.00190081,0.25,-0.00811601
1.0,3.39189995,2.75142423,0.00287384,0.25051945,-0.00236095,0.25,-0.00811601
1.1,3.41739113,2.75149522,0.00264819,0.25005834,-0.00335845,0.25,-0.0094232
1.2,3.44291348,2.75156576,0.00245036,0.24995244,-0.00201177,0.25,-0.0094232
1.3,3.46844066,2.75163122,0.00227283,0.25029795,-0.0025553,0.25,-0.01043799
1.4,3.49396504,2.75168809,0.00200763,0.25007733,-0.0019106,0.25,-0.01258432
1.5,3.51949939,2.75174018,0.00162702,0.25079408,-0.00290713,0.25,-0.01258432
1.6,3.54504094,2.75178118,0.00128883,0.25100944,-0.00334044,0.25,-0.01749857
1.7,3.57055745,2.75180926,0.00078868,0.2509047,-0.00373648,0.25,-0.01749857
1.8,3.59604322,2.75181603,0.00033624,0.24995955,-0.00384016,0.25,-0.01847287
1.9,3.62152648,2.75181684,-0.00012066,0.24936365,-0.00505701,0.25,-0.03387196
2.0,3.64697554,2.75180506,-0.00098113,0.25228943,-0.00789555,0.25,-0.03387196
2.1,3.67239858,2.7517607,-0.00195766,0.24950297,-0.00986133,0.25,-0.03760067
2.2,3.69782331,2.75170907,-0.00298658,0.24782139,-0.00994425,0.25,-0.03459528
2.3,3.72337721,2.75163609,-0.00383053,0.25257738,-0.00648947,0.25,-0.03459528
2.4,3.74894564,2.75154104,-0.00472107,0.2515719,-0.00866932,0.25,-0.0318319
2.5,3.7660012,2.75146504,-0.00519143,0.24930264,-0.00760516,0.25,-0.0318319
2.6,3.79158906,2.75132303,-0.00601045,0.25155521,-0.0061882,0.25,-0.03264227
2.7,3.81716952,2.75116551,-0.00679579,0.25196209,-0.00884744,0.25,-0.03264227
2.8,3.84274127,2.75098555,-0.00762497,0.24881162,-0.01006639,0.25,-0.03689082
2.9,3.86820487,2.7507746,-0.00849053,0.24813077,-0.00910897,0.25,-0.04661758
3.0,3.89362856,2.75054288,-0.00961306,0.24914561,-0.01232487,0.25,-0.04661758
3.1,3.91905135,2.75027602,-0.01062104,0.2487374,-0.01120665,0.25,-0.03916753
3.2,3.94448669,2.74999725,-0.01165835,0.24999293,-0.00940152,0.25,-0.03916753
3.3,3.96989862,2.7496952,-0.01271043,0.25096585,-0.01212247,0.25,-0.03971388
3.4,3.99538209,2.74937157,-0.01375791,0.25224414,-0.01394067,0.25,-0.04019088
3.5,4.02098139,2.74901699,-0.01462398,0.25307239,-0.00624548,0.25,-0.04019088
3.6,4.04657981,2.74864197,-0.01551311,0.25239164,-0.0108105,0.25,-0.04246386
3.7,4.0721854,2.74823958,-0.01655006,0.25279602,-0.00730918,0.25,-0.01369492
3.8,4.09770607,2.74781308,-0.01687348,0.24948187,-0.0037695,0.25,-0.01369492
3.9,4.1232231,2.74738047,-0.01723714,0.25063299,-0.00204002,0.25,-0.05166723
4.0,4.14865767,2.74693336,-0.01837246,0.24610839,-0.01250571,0.25,-0.04580891
4.1,4.16561454,2.74661376,-0.01916494,0.24763526,-0.01049644,0.25,-0.04580891
4.2,4.19103087,2.74610599,-0.02019069,0.24720949,-0.00925075,0.25,-0.04580891
4.3,4.21644829,2.74557748,-0.02127587,0.24693618,-0.00875676,0.25,-0.04567478
4.4,4.2418539,2.74500957,-0.0225417,0.24853359,-0.01534486,0.25,-0.0461567
4.5,4.26729033,2.74442737,-0.02379463,0.25234156,-0.01225578,0.25,-0.0461567
4.6,4.29284644,2.74382282,-0.02496616,0.24851474,-0.01249693,0.25,-0.04552929
4.7,4.31843995,2.74318351,-0.0261337,0.25065353,-0.0089577,0.25,-0.04552929
4.8,4.34406524,2.74252167,-0.02725425,0.25369987,-0.01111855,0.25,-0.05633296
4.9,4.36970107,2.74181044,-0.0287587,0.24835182,-0.0149903,0.25,-0.05835463
5.0,4.39531375,2.74107234,-0.03028369,0.24947966,-0.01528283,0.25,-0.05835463
5.1,4.42081124,2.74028597,-0.03197592,0.24841545,-0.0140563,0.25,-0.05890782
5.2,4.44617462,2.73946219,-0.0334779,0.25031204,-0.0152616,0.25,-0.05890782
5.3,4.47156388,2.73859245,-0.03514912,0.24576351,-0.01458444,0.25,-0.06107232
5.4,4.49692902,2.7376823,-0.03667121,0.24904617,-0.0150774,0.25,-0.06106632
5.5,4.52227118,2.73673978,-0.03846364,0.24885447,-0.01877699,0.25,-0.06359435
5.6,4.54764694,2.73575974,-0.04017942,0.25195317,-0.01944476,0.25,-0.06359435
5.7,4.56464776,2.73507764,-0.04153568,0.25323241,-0.01660113,0.25,-0.06359435
5.8,4.59031208,2.73400567,-0.04310125,0.25451751,-0.01952631,0.25,-0.06542958
5.9,4.61595969,2.73289842,-0.04474521,0.25232381,-0.01708959,0.25,-0.06687908
6.0,4.64161389,2.73175177,-0.04656887,0.24742483,-0.01512402,0.25,-0.06687908
6.1,4.66728891,2.73055702,-0.04839079,0.24853734,-0.024054,0.25,-0.07619128
6.2,4.69278053,2.72932369,-0.05079692,0.24648031,-0.02272298,0.25,-0.08017017
6.3,4.71821496,2.72800925,-0.0534445,0.24657969,-0.01956177,0.25,-0.08017017
6.4,4.74352844,2.72662383,-0.05571295,0.24787847,-0.01789595,0.25,-0.09062093
6.5,4.76874615,2.7252084,-0.05771602,0.2511997,-0.02518126,0.25,-0.09062093
6.6,4.79396397,2.72373033,-0.05987722,0.24695177,-0.02734282,0.25,-0.09049503
6.7,4.8192332,2.72219466,-0.06262933,0.2531252,-0.02056277,0.25,-0.09327755
6.8,4.84468731,2.72057622,-0.06505129,0.25296683,-0.0280223,0.25,-0.09327755
6.9,4.87033524,2.71887958,-0.06843528,0.24458546,-0.02495988,0.25,-0.10811593
7.0,4.89606335,2.71710142,-0.07196493,0.2557734,-0.03620981,0.25,-0.10811593
7.1,4.92185502,2.71522362,-0.07523304,0.24538629,-0.02305025,0.25,-0.11104157
7.2,4.94763711,2.71328327,-0.07826396,0.24657728,-0.03056217,0.25,-0.11581408
7.3,4.97301905,2.71125152,-0.08218324,0.25300396,-0.03909827,0.25,-0.11690291
7.4,4.98995674,2.7098355,-0.08506566,0.24694336,-0.03850245,0.25,-0.11690291
7.5,5.01520939,2.70765571,-0.08877508,0.24272247,-0.02950822,0.25,-0.1182339
7.6,5.04024738,2.70542361,-0.09166063,0.24446682,-0.02434312,0.25,-0.1182339
7.7,5.06530602,2.70306767,-0.09462499,0.25583807,-0.03692724,0.25,-0.13643683
7.8,5.09038278,2.70065063,-0.09896231,0.24713104,-0.0453583,0.25,-0.13643683
7.9,5.11572037,2.69809469,-0.10338866,0.24433416,-0.03877293,0.25,-0.14983182
8.0,5.1410904,2.69542668,-0.10855571,0.24475941,-0.06255671,0.25,-0.14983182
8.1,5.16689412,2.69259612,-0.11343865,0.25652476,-0.04110249,0.25,-0.15053241
8.2,5.19262557,2.68967623,-0.1183584,0.25929141,-0.04095199,0.25,-0.14109515
8.3,5.21837309,2.68661381,-0.12244811,0.25487324,-0.04605734,0.25,-0.14109515
8.4,5.24359266,2.68342163,-0.12705269,0.24917331,-0.04972036,0.25,-0.14647643
8.5,5.26885193,2.68011888,-0.13239404,0.24734529,-0.05662746,0.25,-0.14647643
8.6,5.29410477,2.67675253,-0.13808662,0.2516966,-0.04939008,0.25,-0.1451713
8.7,5.31901325,2.67328195,-0.14236002,0.25390935,-0.02813437,0.25,-0.15025665
8.8,5.34380114,2.6696798,-0.14616351,0.24952926,-0.03606319,0.25,-0.15895083
8.9,5.36874458,2.66597984,-0.15084732,0.25927943,-0.05839902,0.25,-0.15895083
9.0,5.38551859,2.66344467,-0.15548266,0.24423815,-0.06169047,0.25,-0.15895083
9.1,5.4107749,2.65942399,-0.16019381,0.24360127,-0.05464158,0.25,-0.16768422
9.2,5.43594326,2.65539147,-0.16722071,0.2450141,-0.06574707,0.25,-0.18038547
9.3,5.4616845,2.65101339,-0.17173918,0.24850025,-0.04600859,0.25,-0.18038547
9.4,5.48723279,2.64661709,-0.17864892,0.24752606,-0.07071769,0.25,-0.18468581
9.5,5.5122959,2.64209074,-0.18537252,0.25077294,-0.0627423,0.25,-0.18793454
9.6,5.53723739,2.63734121,-0.19200923,0.25242462,-0.07121925,0.25,-0.18793454
9.7,5.56222573,2.632447,-0.19903822,0.24574729,-0.0725525,0.25,-0.19872297
9.8,5.58719017,2.6273776,-0.20688004,0.25507928,-0.0807608,0.25,-0.19872297
9.9,5.61163873,2.62219478,-0.2145304,0.23552118,-0.05428408,0.25,-0.20331797
10.0,5.63656857,2.61672684,-0.22045518,0.25863547,-0.05108417,0.25,-0.19318602
10.1,5.66146854,2.61113694,-0.22435555,0.25400968,-0.0251918,0.25,-0.19318602
10.2,5.68643008,2.6053436,-0.23167335,0.23942361,-0.07770383,0.25,-0.22291292
10.3,5.71127305,2.59945817,-0.24119021,0.23929752,-0.10763148,0.25,-0.22291292
10.4,5.73608949,2.59325986,-0.25309865,0.2431151,-0.11730475,0.25,-0.23061108
10.5,5.76077275,2.58713165,-0.2645833,0.24337763,-0.09827578,0.25,-0.22352233
10.6,5.78534912,2.58063589,-0.27429522,0.24312975,-0.08758018,0.25,-0.22352233
10.7,5.80172575,2.57609781,-0.27996841,0.24353231,-0.0798257,0.25,-0.22918142
10.8,5.82617743,2.56904068,-0.28861694,0.24785396,-0.08983389,0.25,-0.22918142
10.9,5.85050162,2.56169879,-0.29748151,0.24563535,-0.0870639,0.25,-0.23140183
11.0,5.87481235,2.55408886,-0.30642065,0.26148629,-0.09807662,0.25,-0.22216431
11.1,5.89941336,2.54625429,-0.31785879,0.26036021,-0.14003654,0.25,-0.22216431
11.2,5.92367309,2.53815147,-0.33311514,0.24708589,-0.12022247,0.25,-0.21917616
11.3,5.94773697,2.52975415,-0.3425019,0.24375004,-0.1104857,0.25,-0.21917616
11.4,5.97175934,2.52108431,-0.35184368,0.26286638,-0.09276151,0.25,-0.21708939
11.5,5.99557797,2.51227851,-0.36357661,0.25159314,-0.11654508,0.25,-0.21708939
11.6,6.01882779,2.50335187,-0.37317196,0.23854003,-0.09345998,0.25,-0.21150685
11.7,6.04246526,2.49408363,-0.38379134,0.24903208,-0.09902956,0.25,-0.2161437
11.8,6.06615118,2.48445942,-0.39368154,0.25819638,-0.08652252,0.25,-0.2161437
11.9,6.08965046,2.47468212,-0.40268031,0.25395015,-0.07710535,0.25,-0.21514251
12.0,6.11309498,2.4645982,-0.41074108,0.24374198,-0.07792609,0.25,-0.21514251
12.1,6.13700284,2.45418094,-0.41843432,0.25864596,-0.0769336,0.25,-0.22220407
12.2,6.16118628,2.44359871,-0.42590514,0.26439986,-0.06739436,0.25,-0.22133204
12.3,6.17720909,2.43639944,-0.43100439,0.25485312,-0.07823034,0.25,-0.22133204
12.4,6.20039422,2.4256712,-0.44030934,0.24275256,-0.10307334,0.25,-0.22712245
12.5,6.22346729,2.41485305,-0.44976945,0.24898057,-0.0961628,0.25,-0.22712245
12.6,6.24598569,2.40392426,-0.45897516,0.24064498,-0.08913772,0.25,-0.23629424
12.7,6.26805681,2.39273614,-0.46793401,0.23899423,-0.08106637,0.25,-0.23629424
