t,x,y,yaw,v,w,v_cmd,w_cmd
0.0,-1.05176801,3.07845984,0.34704928,0.24744776,-0.09016638,0.25,-0.22161155
0.1,-1.02820162,3.0869876,0.33713012,0.24195367,-0.10512411,0.25,-0.22161155
0.2,-1.0045134,3.09554766,0.32666757,0.24543544,-0.10036762,0.25,-0.22181695
0.3,-0.98053657,3.10359918,0.3155451,0.24706229,-0.08062149,0.25,-0.22181695
0.4,-0.95636137,3.11147903,0.30827398,0.25952818,-0.07350736,0.25,-0.22893789
0.5,-0.93201201,3.11920664,0.30104903,0.24254369,-0.06836262,0.25,-0.22532666
0.6,-0.90717799,3.1268401,0.29144569,0.25972835,-0.11055532,0.25,-0.22532666
0.7,-0.8823391,3.13424098,0.27951385,0.25140463,-0.11652421,0.25,-0.22599591
0.8,-0.86583374,3.13898099,0.27235631,0.25956352,-0.09076138,0.25,-0.22599591
0.9,-0.84102889,3.14582977,0.26166884,0.24718404,-0.09342329,0.25,-0.22368517
1.0,-0.81639579,3.15235613,0.2535482,0.26402458,-0.06871636,0.25,-0.22368517
1.1,-0.79164707,3.1587239,0.246724,0.24744841,-0.07122947,0.25,-0.21856844
1.2,-0.76739185,3.16479224,0.23885368,0.23818584,-0.07672832,0.25,-0.21583301
1.3,-0.74300838,3.17068314,0.22971311,0.24381606,-0.1038396,0.25,-0.21583301
1.4,-0.71841946,3.17648965,0.22029253,0.24448695,-0.07559026,0.25,-0.21533884
1.5,-0.69347233,3.1820208,0.21362043,0.25636817,-0.06736276,0.25,-0.21533884
1.6,-0.66845995,3.18742749,0.2071195,0.25389468,-0.07536856,0.25,-0.21123078
1.7,-0.64326671,3.19268365,0.1994167,0.25616056,-0.07294773,0.25,-0.2052003
1.8,-0.61757164,3.19778974,0.1930587,0.26115627,-0.07695044,0.25,-0.2052003
1.9,-0.59212735,3.20264113,0.18456666,0.25965283,-0.08260774,0.25,-0.20726155
2.0,-0.56697335,3.20730784,0.17489807,0.24037731,-0.07138674,0.25,-0.20726155
2.1,-0.54203478,3.21176393,0.16946416,0.25953834,-0.06463829,0.25,-0.208574
2.2,-0.51698522,3.21597019,0.15997107,0.24570348,-0.10596611,0.25,-0.20940223
2.3,-0.49213365,3.22001776,0.15041624,0.24773529,-0.06735074,0.25,-0.20940223
2.4,-0.47578317,3.22254529,0.14648144,0.24620954,-0.05332995,0.25,-0.20356234
2.5,-0.45130527,3.22623137,0.14153105,0.24332508,-0.05612728,0.25,-0.20356234
2.6,-0.42612866,3.22987867,0.1348905,0.24941568,-0.06536661,0.25,-0.19148445
2.7,-0.40088192,3.23322769,0.12799244,0.2520111,-0.0732731,0.25,-0.19148445
2.8,-0.37533139,3.23629837,0.1192585,0.24396365,-0.09692324,0.25,-0.17982509
2.9,-0.34944205,3.23931777,0.11117813,0.2541213,-0.04734191,0.25,-0.17269705
3.0,-0.32346048,3.24218894,0.10713821,0.25579711,-0.035598,0.25,-0.17269705
3.1,-0.29778046,3.24493326,0.10249674,0.25118855,-0.06700564,0.25,-0.15544178
3.2,-0.27237602,3.2475612,0.09619322,0.24802681,-0.06223618,0.25,-0.15544178
3.3,-0.24704989,3.24997757,0.08959974,0.2513875,-0.06715016,0.25,-0.15367725
3.4,-0.2218521,3.25218704,0.08314875,0.24401183,-0.04210187,0.25,-0.14167892
3.5,-0.19681523,3.25425751,0.0795506,0.25045098,-0.03187044,0.25,-0.14167892
3.6,-0.17180917,3.25624816,0.07637685,0.25035921,-0.03317432,0.25,-0.1284372
3.7,-0.14648478,3.25816804,0.07253636,0.25704606,-0.03775316,0.25,-0.1284372
3.8,-0.12103773,3.25996953,0.06829901,0.24500683,-0.04478728,0.25,-0.12461674
3.9,-0.09554258,3.26169603,0.06403765,0.2526801,-0.03469217,0.25,-0.11935007
4.0,-0.07833544,3.2627951,0.06223761,0.25292482,-0.0245308,0.25,-0.11935007
4.1,-0.05253291,3.26439369,0.05952128,0.25371004,-0.02674007,0.25,-0.10975608
4.2,-0.02682067,3.2659451,0.05680173,0.24634936,-0.02667946,0.25,-0.10975608
4.3,-0.00132585,3.26738244,0.05336498,0.24906407,-0.03327834,0.25,-0.10865434
4.4,0.02421551,3.26872708,0.04960173,0.2464439,-0.03632672,0.25,-0.10400787
4.5,0.04967965,3.270044,0.04617165,0.24634685,-0.03468068,0.25,-0.10400787
4.6,0.07497792,3.27116807,0.04333969,0.25312409,-0.02463814,0.25,-0.09620359
4.7,0.10021948,3.27223662,0.04103796,0.25168037,-0.02162063,0.25,-0.09620359
4.8,0.12552247,3.27325511,0.03886444,0.25320593,-0.02792163,0.25,-0.09189933
4.9,0.15100967,3.27423337,0.03588456,0.25255949,-0.02799991,0.25,-0.08651341
5.0,0.17653341,3.27512517,0.03331238,0.24787386,-0.02393527,0.25,-0.08651341
5.1,0.20219597,3.27595748,0.03130141,0.2514192,-0.01921826,0.25,-0.08129889
5.2,0.22786259,3.27677504,0.02943451,0.24948303,-0.01902684,0.25,-0.08129889
5.3,0.25355244,3.27752985,0.0275856,0.25046997,-0.01689146,0.25,-0.07927637
5.4,0.27908206,3.27824153,0.02520475,0.24888441,-0.02539984,0.25,-0.07455064
5.5,0.30455532,3.2788353,0.02274636,0.25085155,-0.02647379,0.25,-0.07028974
5.6,0.32152218,3.2791921,0.02108208,0.25095795,-0.02334899,0.25,-0.07028974
5.7,0.34693504,3.27969486,0.01888197,0.24929474,-0.01785344,0.25,-0.07028974
5.8,0.37232246,3.28014864,0.01705874,0.25116391,-0.01630278,0.25,-0.06604863
5.9,0.39770692,3.28055128,0.01556763,0.25184613,-0.01361004,0.25,-0.06136603
