t,x,y,yaw,v,w,v_cmd,w_cmd
0.0,-0.29887738,-3.19994959,3.04110544,0.25237856,-0.06413221,0.25,-0.19152116
0.1,-0.32377371,-3.1973662,3.03495175,0.24246146,-0.05716463,0.25,-0.19152116
0.2,-0.34894327,-3.19462162,3.02736924,0.25353337,-0.07597386,0.25,-0.19305314
0.3,-0.37420748,-3.19191159,3.01934794,0.24745098,-0.08257558,0.25,-0.19305314
0.4,-0.39949505,-3.18887352,3.01114699,0.24911239,-0.07902713,0.25,-0.19472714
0.5,-0.42488017,-3.1856171,3.00304381,0.25815033,-0.071243,0.25,-0.19384102
0.6,-0.45070792,-3.18194377,2.99771276,0.25858118,-0.0525702,0.25,-0.19384102
0.7,-0.47658967,-3.17816618,2.99251905,0.26326777,-0.04404982,0.25,-0.19737049
0.8,-0.4938013,-3.17561002,2.98887808,0.24757647,-0.0698125,0.25,-0.19737049
0.9,-0.51897116,-3.17176449,2.98359894,0.25111241,-0.04396,0.25,-0.19695338
1.0,-0.54406152,-3.1676947,2.97978763,0.25524963,-0.03243593,0.25,-0.19309714
1.1,-0.56886871,-3.1636489,2.97579188,0.24602065,-0.04514333,0.25,-0.19309714
1.2,-0.59313794,-3.15946857,2.9712284,0.2422605,-0.04840645,0.25,-0.19981486
1.3,-0.61743526,-3.15515645,2.96612398,0.23847357,-0.04065177,0.25,-0.19981486
1.4,-0.64223775,-3.15075518,2.95875952,0.24930333,-0.09459343,0.25,-0.20577354
1.5,-0.66723994,-3.14640452,2.94890927,0.24498027,-0.09581904,0.25,-0.20803055
1.6,-0.692188,-3.14174842,2.93922964,0.25371752,-0.09357747,0.25,-0.20803055
1.7,-0.71780439,-3.13656918,2.93209226,0.26308376,-0.04679679,0.25,-0.20882636
1.8,-0.74378807,-3.13112238,2.92737331,0.25374656,-0.04825905,0.25,-0.20882636
1.9,-0.76973757,-3.12559632,2.92233596,0.255727,-0.04654688,0.25,-0.21056165
2.0,-0.79460589,-3.1201036,2.91575635,0.25016699,-0.0667945,0.25,-0.21812505
2.1,-0.81930665,-3.11444046,2.90893884,0.25288965,-0.07006479,0.25,-0.21812505
2.2,-0.84374196,-3.10865352,2.90171561,0.2507567,-0.07859683,0.25,-0.22237043
2.3,-0.86770236,-3.10264397,2.8947888,0.24087373,-0.05816936,0.25,-0.22237043
2.4,-0.89144047,-3.09645208,2.88907358,0.24917277,-0.06350699,0.25,-0.22383653
2.5,-0.90735183,-3.09225214,2.88490447,0.24715032,-0.067216,0.25,-0.22383653
2.6,-0.93187192,-3.08583908,2.87544652,0.24632636,-0.10799294,0.25,-0.22664112
2.7,-0.95636717,-3.07973504,2.8643588,0.24420446,-0.10884664,0.25,-0.22664112
2.8,-0.98130691,-3.07294967,2.85379223,0.26263687,-0.09600045,0.25,-0.22978966
2.9,-1.00654241,-3.06550295,2.84605029,0.25193469,-0.08332652,0.25,-0.22692031
3.0,-1.03159751,-3.05783554,2.8375103,0.24054857,-0.0861107,0.25,-0.22692031
3.1,-1.05627731,-3.05001685,2.82824513,0.24400618,-0.0996437,0.25,-0.22776292
3.2,-1.08053956,-3.0420746,2.81797734,0.24205968,-0.11300705,0.25,-0.22776292
3.3,-1.10444074,-3.03400647,2.80412767,0.2511382,-0.14855027,0.25,-0.22743131
3.4,-1.12802898,-3.02570127,2.79278505,0.24318621,-0.09823468,0.25,-0.22743131
3.5,-1.1514091,-3.01729439,2.78317427,0.23341696,-0.07831939,0.25,-0.22548618
3.6,-1.17480026,-3.00844654,2.77312819,0.24706914,-0.09125156,0.25,-0.21835727
3.7,-1.19821808,-2.99922949,2.76559545,0.25176834,-0.06927567,0.25,-0.21835727
3.8,-1.22222659,-2.98977107,2.75801895,0.26150059,-0.07595173,0.25,-0.21581554
3.9,-1.2462874,-2.98000771,2.74960711,0.26119682,-0.07643421,0.25,-0.21581554
4.0,-1.27024521,-2.97011349,2.74070371,0.2443822,-0.09099902,0.25,-0.21224043
4.1,-1.28615612,-2.96338595,2.73463154,0.25775786,-0.08905845,0.25,-0.21147131
4.2,-1.30999126,-2.95321343,2.72551217,0.24966728,-0.07910036,0.25,-0.21147131
4.3,-1.33338637,-2.94281838,2.7176434,0.24645301,-0.08246843,0.25,-0.21341635
4.4,-1.3565399,-2.93221458,2.70986769,0.24571885,-0.07420048,0.25,-0.21341635
4.5,-1.37931487,-2.92164526,2.70097628,0.23565029,-0.08352045,0.25,-0.21772321
4.6,-1.40200929,-2.91098927,2.69207747,0.24228002,-0.09688687,0.25,-0.21772321
4.7,-1.42456662,-2.90041601,2.68204252,0.24184254,-0.09560197,0.25,-0.2120042
4.8,-1.44706224,-2.88933288,2.67335392,0.24233641,-0.09224542,0.25,-0.21615438
4.9,-1.46989357,-2.87773928,2.66470829,0.25143824,-0.09340037,0.25,-0.21615438
5.0,-1.49282331,-2.86581953,2.65529419,0.25679074,-0.0864381,0.25,-0.21609499
5.1,-1.515832,-2.85359442,2.64682424,0.26068892,-0.09122987,0.25,-0.21609499
5.2,-1.53861271,-2.84113647,2.63710139,0.2490431,-0.09768444,0.25,-0.21574944
5.3,-1.56124762,-2.82854175,2.62669912,0.26004086,-0.10760153,0.25,-0.21460497
5.4,-1.58352202,-2.81592617,2.61765107,0.2467098,-0.08073081,0.25,-0.21460497
5.5,-1.60549798,-2.80311688,2.60958369,0.25370366,-0.08087331,0.25,-0.2100708
5.6,-1.6272552,-2.79019572,2.60063533,0.24681112,-0.10044544,0.25,-0.2100708
5.7,-1.64874786,-2.77736279,2.59127275,0.24007207,-0.09335763,0.25,-0.20977475
5.8,-1.66301548,-2.76866204,2.58477816,0.24105969,-0.08885317,0.25,-0.20977475
5.9,-1.68427271,-2.75536369,2.57584024,0.24552131,-0.08481939,0.25,-0.20765768
6.0,-1.70578802,-2.74159618,2.56726492,0.25059056,-0.08654985,0.25,-0.20484673
6.1,-1.72746029,-2.7276263,2.55831118,0.24284051,-0.08945733,0.25,-0.20484673
6.2,-1.74913085,-2.71338738,2.5495528,0.25471051,-0.08327959,0.25,-0.2019149
6.3,-1.77056427,-2.6988791,2.54109533,0.25120926,-0.08893791,0.25,-0.20102964
6.4,-1.79180841,-2.68417912,2.53219306,0.24623853,-0.09025182,0.25,-0.20102964
6.5,-1.81271311,-2.66959237,2.52340789,0.25158275,-0.07915097,0.25,-0.19928264
6.6,-1.83355329,-2.65476298,2.51549513,0.24895005,-0.07718791,0.25,-0.19928264
6.7,-1.8542381,-2.63977225,2.5075413,0.24607348,-0.07922198,0.25,-0.19650621
6.8,-1.87453736,-2.62477752,2.49939673,0.24525436,-0.08172107,0.25,-0.19657565
6.9,-1.89471144,-2.60985793,2.49078599,0.24895059,-0.08647309,0.25,-0.19657565
7.0,-1.91488128,-2.59452963,2.48203417,0.2433058,-0.09151032,0.25,-0.19380404
7.1,-1.93497168,-2.57896646,2.47263319,0.24999136,-0.09087373,0.25,-0.19380404
7.2,-1.95498852,-2.56307202,2.46385523,0.25778728,-0.07761779,0.25,-0.18581969
7.3,-1.97498181,-2.54692366,2.45552312,0.24595817,-0.08028621,0.25,-0.18533942
7.4,-1.98810036,-2.53620358,2.45012856,0.25415494,-0.07958029,0.25,-0.18533942
7.5,-2.00751699,-2.52005822,2.44216216,0.25016143,-0.07687002,0.25,-0.18187191
7.6,-2.02692849,-2.50378287,2.43451623,0.25055507,-0.0746388,0.25,-0.18088905
7.7,-2.04629615,-2.48723713,2.42691114,0.25140816,-0.07458799,0.25,-0.18088905
7.8,-2.06554975,-2.47052225,2.41929962,0.24704817,-0.07381838,0.25,-0.18074864
7.9,-2.08475032,-2.45356286,2.41166278,0.25313859,-0.07263698,0.25,-0.18074864
8.0,-2.10408334,-2.43631923,2.40389013,0.24950738,-0.08151356,0.25,-0.18309683
8.1,-2.12302779,-2.41902303,2.39480281,0.24020997,-0.08540297,0.25,-0.18194296
8.2,-2.14174634,-2.40164941,2.38800746,0.25206311,-0.08094365,0.25,-0.18194296
8.3,-2.16029123,-2.38422879,2.37994185,0.25019252,-0.07998345,0.25,-0.18179134
8.4,-2.1786999,-2.36665835,2.3716492,0.243879,-0.08146697,0.25,-0.18179134
8.5,-2.19661784,-2.34905443,2.36361064,0.24344567,-0.07779534,0.25,-0.18008245
8.6,-2.21440098,-2.33132719,2.35551855,0.24374406,-0.07792947,0.25,-0.17951801
8.7,-2.23230642,-2.31335398,2.34779887,0.24826256,-0.06906535,0.25,-0.17951801
8.8,-2.25014952,-2.29530131,2.34066319,0.24801482,-0.07015853,0.25,-0.17714122
8.9,-2.26787157,-2.27716499,2.33362216,0.25117233,-0.06828835,0.25,-0.17714122
9.0,-2.28552406,-2.25860323,2.32622545,0.24946972,-0.07794669,0.25,-0.17686838
9.1,-2.2973602,-2.24606978,2.32091712,0.255863,-0.07913179,0.25,-0.17686838
9.2,-2.31522417,-2.22711181,2.3129966,0.25983158,-0.07613737,0.25,-0.1763127
9.3,-2.3327847,-2.20807285,2.30525705,0.24513374,-0.07325336,0.25,-0.17596635
9.4,-2.34982618,-2.18916889,2.29773165,0.25234731,-0.07468577,0.25,-0.17596635
9.5,-2.36672942,-2.17028136,2.29011221,0.25384559,-0.07356525,0.25,-0.1747644
