t,x,y,yaw,v,w,v_cmd,w_cmd
0.0,2.77526096,-3.23935096,-3.09461306,0.25213006,-0.01207997,0.25,-0.05621295
0.1,2.74978266,-3.24054661,-3.09634044,0.24984159,-0.02113007,0.25,-0.05621295
0.2,2.72427482,-3.24173182,-3.0982242,0.2498959,-0.01792878,0.25,-0.05513132
0.3,2.69882222,-3.24281024,-3.10009341,0.24920126,-0.02123406,0.25,-0.05513132
0.4,2.67340993,-3.24384204,-3.10145695,0.24751912,-0.0130522,0.25,-0.05337581
0.5,2.64799422,-3.24483416,-3.1027309,0.24862891,-0.01251694,0.25,-0.051425
0.6,2.62252055,-3.24582084,-3.10414101,0.25187719,-0.01503845,0.25,-0.051425
0.7,2.59702548,-3.24676531,-3.1055682,0.25179284,-0.01474873,0.25,-0.05031581
0.8,2.5800322,-3.24736904,-3.10656766,0.2526918,-0.01291491,0.25,-0.05031581
0.9,2.5545072,-3.24827074,-3.10785536,0.25105897,-0.01679201,0.25,-0.04864178
1.0,2.52892242,-3.24913845,-3.10909227,0.25089961,-0.0140359,0.25,-0.04864178
1.1,2.50332995,-3.24996666,-3.11024848,0.25055669,-0.01201445,0.25,-0.04613766
1.2,2.47781583,-3.25074032,-3.11144885,0.25119076,-0.0154022,0.25,-0.04613766
1.3,2.45231803,-3.25151132,-3.11298174,0.24813239,-0.01279067,0.25,-0.04405066
1.4,2.42682062,-3.2522366,-3.11422733,0.25013433,-0.00980754,0.25,-0.0425508
1.5,2.40135635,-3.25291871,-3.11543691,0.24751536,-0.00973442,0.25,-0.0425508
1.6,2.37593335,-3.25356501,-3.11636952,0.25206986,-0.00942957,0.25,-0.04136968
1.7,2.35046014,-3.25419542,-3.11726924,0.24956141,-0.00753255,0.25,-0.04136968
1.8,2.32496044,-3.25481629,-3.118212,0.25065798,-0.00847034,0.25,-0.03979499
1.9,2.29946641,-3.25540171,-3.1193777,0.24764569,-0.01099889,0.25,-0.03808961
2.0,2.27395046,-3.25595812,-3.12043268,0.25046766,-0.01121728,0.25,-0.03808961
2.1,2.24839108,-3.25650337,-3.1213904,0.24827972,-0.00878518,0.25,-0.03744288
2.2,2.22282734,-3.25702715,-3.1222527,0.25122207,-0.00950386,0.25,-0.03744288
2.3,2.19732527,-3.25751778,-3.12317424,0.25012929,-0.00954397,0.25,-0.03615035
2.4,2.17182353,-3.25798168,-3.12425723,0.25009252,-0.01242731,0.25,-0.03401288
2.5,2.15482273,-3.25827493,-3.1250113,0.25009684,-0.011756,0.25,-0.03401288
2.6,2.12932383,-3.25868722,-3.12604296,0.2498406,-0.01316937,0.25,-0.03352679
2.7,2.10386042,-3.25906222,-3.12689801,0.24852629,-0.00712588,0.25,-0.03352679
2.8,2.07840779,-3.25942725,-3.12765542,0.2490842,-0.00603702,0.25,-0.03098953
2.9,2.05290478,-3.25977973,-3.1282859,0.24807239,-0.00688344,0.25,-0.02957657
3.0,2.02739746,-3.26011774,-3.12902124,0.2507582,-0.00716577,0.25,-0.02957657
3.1,2.00188852,-3.26043253,-3.12992058,0.24935775,-0.00803066,0.25,-0.02921709
3.2,1.97635506,-3.26073135,-3.13068165,0.25017061,-0.0053676,0.25,-0.02921709
3.3,1.95080659,-3.26101312,-3.13130267,0.25125008,-0.00715916,0.25,-0.02674454
3.4,1.9252865,-3.26127372,-3.13194976,0.2501722,-0.00620099,0.25,-0.02656161
3.5,1.89977474,-3.26151339,-3.13258049,0.25026921,-0.0075674,0.25,-0.02656161
3.6,1.87426948,-3.2617313,-3.1334632,0.24897746,-0.00620986,0.25,-0.02617328
3.7,1.84876684,-3.26192441,-3.13440146,0.24896997,-0.00832287,0.25,-0.02617328
3.8,1.82327795,-3.26209081,-3.13512681,0.24898803,-0.00566535,0.25,-0.02554243
3.9,1.79777508,-3.26223157,-3.1357192,0.24931403,-0.00497796,0.25,-0.0245573
4.0,1.77226799,-3.26237592,-3.13620361,0.25040614,-0.00472003,0.25,-0.0245573
4.1,1.75526517,-3.26246393,-3.13655484,0.24886302,-0.00664569,0.25,-0.02465766
4.2,1.72974796,-3.26259417,-3.13718549,0.2500095,-0.00613852,0.25,-0.02465766
4.3,1.70423905,-3.26269882,-3.13785288,0.24898623,-0.00541062,0.25,-0.02351925
4.4,1.67871594,-3.26279666,-3.13841773,0.24915522,-0.00614407,0.25,-0.02271944
4.5,1.65320073,-3.26287331,-3.13889348,0.25008121,-0.0006836,0.25,-0.02271944
4.6,1.62769078,-3.26294646,-3.13931416,0.25046539,-0.00581543,0.25,-0.02354498
4.7,1.6021765,-3.26299273,-3.13998464,0.24992003,-0.00622941,0.25,-0.02354498
4.8,1.57667377,-3.26302707,-3.14074238,0.2507715,-0.01030237,0.25,-0.02372525
4.9,1.55117995,-3.26304802,-3.14154667,0.24945915,-0.0051676,0.25,-0.02603652
5.0,1.52570152,-3.26303152,3.14108127,0.24854751,-0.00460992,0.25,-0.02603652
5.1,1.50017823,-3.26299879,3.14059706,0.25083569,-0.00425115,0.25,-0.02587643
5.2,1.47468529,-3.26297082,3.14005305,0.2515823,-0.00635175,0.25,-0.03138843
5.3,1.44918032,-3.26292798,3.13938137,0.24927795,-0.00905526,0.25,-0.03138843
5.4,1.42367429,-3.26285726,3.13841081,0.24953822,-0.00833913,0.25,-0.03329336
5.5,1.39814433,-3.26276075,3.13765465,0.2514918,-0.00501129,0.25,-0.03329336
5.6,1.3726475,-3.26264968,3.13678183,0.24959143,-0.00757651,0.25,-0.03696832
5.7,1.34713984,-3.26251766,3.13593576,0.25033086,-0.01031535,0.25,-0.03696832
5.8,1.33013117,-3.26241328,3.13532047,0.24885653,-0.00867223,0.25,-0.03740911
5.9,1.30462517,-3.26224898,3.13405205,0.24982399,-0.0136113,0.25,-0.03776597
6.0,1.279122,-3.26205398,3.13284135,0.24920388,-0.01083663,0.25,-0.03776597
6.1,1.25365171,-3.26180472,3.13190955,0.24908618,-0.00774618,0.25,-0.03496333
6.2,1.22816069,-3.26155308,3.1311413,0.24897645,-0.00564922,0.25,-0.03496333
6.3,1.2026423,-3.26127445,3.13047565,0.24896714,-0.00611343,0.25,-0.03428375
6.4,1.1771411,-3.26099016,3.12975589,0.25082462,-0.01006295,0.25,-0.03428375
6.5,1.15164376,-3.26067577,3.12882881,0.24929367,-0.0083894,0.25,-0.03722022
6.6,1.12614107,-3.26033963,3.12785588,0.24875923,-0.00974623,0.25,-0.01886818
6.7,1.10068239,-3.25998313,3.12710813,0.24966045,-0.0052155,0.25,-0.01886818
6.8,1.07518966,-3.25961263,3.12671077,0.24920555,-0.00298972,0.25,-0.01897093
6.9,1.04967381,-3.25923224,3.12630018,0.25128921,-0.00398835,0.25,-0.01897093
7.0,1.02416831,-3.25883554,3.12582575,0.25086854,-0.00702811,0.25,-0.02216288
7.1,0.99866938,-3.25842096,3.12497579,0.24937881,-0.0116669,0.25,-0.02520729
7.2,0.97318696,-3.25798213,3.12426034,0.25081867,-0.00677319,0.25,-0.02520729
7.3,0.94767886,-3.25753369,3.12376864,0.25077089,-0.00417355,0.25,-0.02716293
7.4,0.93067076,-3.25722855,3.12347028,0.25134713,-0.00541568,0.25,-0.02716293
7.5,0.90516197,-3.25676371,3.12296445,0.25215887,-0.00528646,0.25,-0.03512912
7.6,0.87965942,-3.25628228,3.12212006,0.25024351,-0.00870922,0.25,-0.04423955
7.7,0.85414704,-3.25577155,3.12099142,0.24943124,-0.01591854,0.25,-0.04423955
7.8,0.82872329,-3.25525487,3.11961629,0.24911518,-0.01293363,0.25,-0.04775434
7.9,0.80327783,-3.25470841,3.11827303,0.249929,-0.01293112,0.25,-0.04775434
8.0,0.77778877,-3.25411534,3.11697468,0.24953806,-0.01223376,0.25,-0.05011524
8.1,0.75229048,-3.25348246,3.11566815,0.24939961,-0.01400933,0.25,-0.05012296
8.2,0.72680133,-3.25280561,3.11415378,0.24960464,-0.0153311,0.25,-0.05012296
8.3,0.70981343,-3.25234442,3.11304757,0.24807162,-0.0172917,0.25,-0.05012296
8.4,0.67576125,-3.25135398,3.11115517,0.2522548,-0.01250824,0.25,-0.04638733
8.5,0.65022591,-3.25055728,3.110108,0.25067017,-0.00910409,0.25,-0.04799158
8.6,0.62472504,-3.24973668,3.10919012,0.25266936,-0.0090988,0.25,-0.04898885
8.7,0.59922537,-3.24891169,3.10817954,0.25242333,-0.0141648,0.25,-0.04898885
8.8,0.57373888,-3.24804701,3.10677212,0.25113915,-0.01638178,0.25,-0.04785767
8.9,0.54831118,-3.24718053,3.10540624,0.24792185,-0.01492579,0.25,-0.04785767
9.0,0.52288464,-3.24627275,3.10402806,0.25110541,-0.01192609,0.25,-0.05028479
9.1,0.50588898,-3.24562865,3.10318915,0.24917913,-0.01335784,0.25,-0.05777805
