t,x,y,yaw,v,w,v_cmd,w_cmd
0.0,7.71394789,-0.3291969,-1.65770726,0.24369804,-0.12829576,0.25,-0.29105283
0.1,7.71168152,-0.3546356,-1.67241669,0.25040395,-0.14887988,0.25,-0.29105283
0.2,7.70910289,-0.37956099,-1.68809104,0.24472474,-0.17303118,0.25,-0.28157277
0.3,7.70604804,-0.40438664,-1.70221244,0.23480749,-0.1087641,0.25,-0.28558035
0.4,7.7027259,-0.42900365,-1.71202874,0.23065997,-0.0695521,0.25,-0.28558035
0.5,7.69916272,-0.45398936,-1.72086504,0.24815913,-0.11418634,0.25,-0.26632595
0.6,7.6952292,-0.47923078,-1.73399692,0.26312569,-0.09733037,0.25,-0.26632595
0.7,7.69086367,-0.50457551,-1.74519557,0.24355813,-0.12541,0.25,-0.26678308
0.8,7.68778024,-0.52166424,-1.75458588,0.26370939,-0.13076266,0.25,-0.26174106
0.9,7.68311294,-0.54749115,-1.76626411,0.26107264,-0.10069213,0.25,-0.26174106
1.0,7.67815682,-0.57301574,-1.77758392,0.24441392,-0.11451797,0.25,-0.25080705
1.1,7.67285609,-0.59792321,-1.78843218,0.25029013,-0.10476843,0.25,-0.25080705
1.2,7.66716386,-0.62285035,-1.80063752,0.24913982,-0.12975432,0.25,-0.25063386
1.3,7.66120626,-0.64769581,-1.81408934,0.24517878,-0.14213923,0.25,-0.24453505
1.4,7.65501161,-0.67228576,-1.82622336,0.2433083,-0.12258464,0.25,-0.24453505
1.5,7.64867664,-0.69654339,-1.83569227,0.25198937,-0.08989195,0.25,-0.24006028
1.6,7.64206948,-0.7210385,-1.84554155,0.25001286,-0.10146688,0.25,-0.24537929
1.7,7.63529828,-0.74562948,-1.85476703,0.25871785,-0.08122224,0.25,-0.24537929
1.8,7.62800458,-0.77018343,-1.86497398,0.26552716,-0.09892692,0.25,-0.24185841
1.9,7.62049998,-0.79457442,-1.8761255,0.24403329,-0.09260601,0.25,-0.24185841
2.0,7.61277538,-0.81885761,-1.88571234,0.24978589,-0.11131412,0.25,-0.24060574
2.1,7.60483268,-0.84286796,-1.89636105,0.24244768,-0.10525492,0.25,-0.23680283
2.2,7.59698453,-0.86696466,-1.90824071,0.24890973,-0.11684875,0.25,-0.23680283
2.3,7.5888022,-0.89095662,-1.91991107,0.24782348,-0.10827275,0.25,-0.2262517
2.4,7.58026358,-0.9148966,-1.93119995,0.24812034,-0.10164399,0.25,-0.2262517
2.5,7.5742596,-0.93081274,-1.9373745,0.25505391,-0.07211769,0.25,-0.22343517
2.6,7.56498213,-0.95557606,-1.9441876,0.26024142,-0.06139815,0.25,-0.23674828
2.7,7.55549633,-0.98036222,-1.9510491,0.25422169,-0.07340112,0.25,-0.23674828
2.8,7.5464399,-1.00392413,-1.96168668,0.24559872,-0.11989956,0.25,-0.23960175
2.9,7.53703133,-1.02745201,-1.9746333,0.25042193,-0.12764408,0.25,-0.22582141
3.0,7.52691992,-1.05086335,-1.98672993,0.26114202,-0.11332485,0.25,-0.22582141
3.1,7.51669251,-1.07377361,-1.99627408,0.23696596,-0.08564349,0.25,-0.22590303
3.2,7.50633576,-1.09632063,-2.00461219,0.24236724,-0.090244,0.25,-0.22590303
3.3,7.49567483,-1.1190596,-2.01327425,0.2499201,-0.09902809,0.25,-0.21875606
3.4,7.48531122,-1.14204938,-2.02397573,0.24757472,-0.10926207,0.25,-0.21347671
3.5,7.47464236,-1.16492743,-2.03467976,0.24517551,-0.10404828,0.25,-0.21347671
3.6,7.46341984,-1.187809,-2.04434411,0.2442262,-0.07480535,0.25,-0.21469632
3.7,7.45164403,-1.21145883,-2.05146321,0.26026316,-0.06482934,0.25,-0.21469632
3.8,7.4396167,-1.2348812,-2.05877589,0.25504101,-0.07709382,0.25,-0.21267218
3.9,7.42746634,-1.25769742,-2.06723233,0.24408694,-0.10316721,0.25,-0.21881418
4.0,7.41545375,-1.28003822,-2.07766823,0.25468772,-0.10973438,0.25,-0.21881418
4.1,7.40737821,-1.29485673,-2.08520025,0.24825501,-0.11619761,0.25,-0.22227714
4.2,7.3949674,-1.31660016,-2.09563614,0.24368409,-0.08600483,0.25,-0.21891699
4.3,7.38230461,-1.33813423,-2.1062684,0.24557299,-0.11487975,0.25,-0.21891699
4.4,7.36946776,-1.35958055,-2.11752815,0.24894863,-0.11311205,0.25,-0.22100991
4.5,7.35634626,-1.38115191,-2.12837264,0.24681906,-0.10280167,0.25,-0.22100991
4.6,7.34308565,-1.40277039,-2.13875031,0.24556922,-0.09919867,0.25,-0.21560439
4.7,7.32939323,-1.42437174,-2.14900775,0.25590368,-0.09727507,0.25,-0.21560439
4.8,7.31513786,-1.44629728,-2.1577293,0.26481668,-0.07404543,0.25,-0.2158941
4.9,7.30076741,-1.46829383,-2.16571995,0.25843508,-0.07912783,0.25,-0.20527859
5.0,7.286161,-1.49014443,-2.17332623,0.26153408,-0.07907972,0.25,-0.20527859
5.1,7.27152969,-1.51121674,-2.1819633,0.2534622,-0.09444161,0.25,-0.21046317
5.2,7.25715425,-1.53193033,-2.19277268,0.24936576,-0.09977539,0.25,-0.21046317
5.3,7.24262196,-1.5522902,-2.2021316,0.24385289,-0.09540931,0.25,-0.21785186
5.4,7.22794549,-1.57242645,-2.21192334,0.24873005,-0.09494047,0.25,-0.2192834
5.5,7.2129273,-1.59239695,-2.221028,0.25945545,-0.07126245,0.25,-0.2192834
5.6,7.19774514,-1.61221086,-2.23141353,0.25258306,-0.11551915,0.25,-0.20443717
5.7,7.18204974,-1.63225001,-2.24246274,0.25874885,-0.11523885,0.25,-0.20636947
5.8,7.17120016,-1.6457639,-2.24905877,0.24976603,-0.09202918,0.25,-0.20636947
5.9,7.15471168,-1.66588058,-2.25804505,0.26188318,-0.08137409,0.25,-0.1922678
6.0,7.1381768,-1.68580979,-2.26702271,0.25126247,-0.08505495,0.25,-0.1922678
6.1,7.12146612,-1.70565129,-2.27531637,0.25694046,-0.07909067,0.25,-0.1928366
6.2,7.10475749,-1.72540132,-2.2832258,0.24786289,-0.07537597,0.25,-0.19358151
6.3,7.08801568,-1.74467278,-2.29095406,0.24794011,-0.07745311,0.25,-0.19358151
6.4,7.071285,-1.76360358,-2.29908437,0.24023404,-0.0831187,0.25,-0.19577548
6.5,7.05479713,-1.78236642,-2.3076398,0.24197226,-0.08313249,0.25,-0.19577548
6.6,7.03812065,-1.80098555,-2.31627078,0.24116405,-0.08618758,0.25,-0.19882785
6.7,7.02114465,-1.81941886,-2.3251326,0.24323403,-0.08712581,0.25,-0.20035536
6.8,7.00374267,-1.83777887,-2.3339325,0.24770186,-0.08774053,0.25,-0.20035536
6.9,6.98598345,-1.85648636,-2.34294823,0.25431069,-0.08596881,0.25,-0.19857544
7.0,6.96781619,-1.87496563,-2.35123584,0.26041174,-0.08346715,0.25,-0.19857544
7.1,6.94934188,-1.89324893,-2.36021747,0.25700173,-0.0877355,0.25,-0.21008923
7.2,6.93064512,-1.91135306,-2.36925274,0.24334241,-0.09073527,0.25,-0.20331205
7.3,6.91227719,-1.92929044,-2.37784475,0.25415747,-0.08191072,0.25,-0.20331205
7.4,6.899971,-1.94104963,-2.3835119,0.24631813,-0.08295145,0.25,-0.20257211
7.5,6.88139015,-1.95861771,-2.39193492,0.25402072,-0.08522585,0.25,-0.21465568
7.6,6.86290218,-1.97575808,-2.40217464,0.25203621,-0.10043912,0.25,-0.21465568
7.7,6.84469353,-1.99270597,-2.41131601,0.23858152,-0.09012223,0.25,-0.21538379
7.8,6.82641188,-2.00947037,-2.42040458,0.24377502,-0.08687501,0.25,-0.21538379
7.9,6.80732057,-2.02620393,-2.42990904,0.25123902,-0.10123902,0.25,-0.2146632
8.0,6.78787332,-2.04281075,-2.44009577,0.25712259,-0.09812164,0.25,-0.21374567
8.1,6.76827089,-2.05940807,-2.44933583,0.25679784,-0.09695653,0.25,-0.21374567
8.2,6.74818751,-2.07586153,-2.45840234,0.25917758,-0.08391377,0.25,-0.21177061
8.3,6.72784097,-2.09206232,-2.46702255,0.25626448,-0.08203221,0.25,-0.21177061
8.4,6.70775603,-2.1079752,-2.47528346,0.25283999,-0.08700231,0.25,-0.2093041
8.5,6.68764622,-2.12382789,-2.48457121,0.24520269,-0.09112331,0.25,-0.21154623
8.6,6.6674276,-2.1393955,-2.493964,0.25604167,-0.10062043,0.25,-0.21154623
8.7,6.64703586,-2.15466749,-2.50328368,0.24934063,-0.09331535,0.25,-0.20958089
8.8,6.62696385,-2.16962448,-2.51173873,0.24751329,-0.08203231,0.25,-0.20958089
8.9,6.60682436,-2.18449114,-2.52004283,0.25178045,-0.08514457,0.25,-0.20730861
9.0,6.58604178,-2.19927954,-2.52906785,0.24398291,-0.08804378,0.25,-0.29576291
9.1,6.57210812,-2.20904826,-2.53705866,0.23360025,-0.13583771,0.25,-0.29576291
9.2,6.55083977,-2.22335042,-2.55312756,0.24882311,-0.17568946,0.25,-0.31639614
