case,T,p_f,spec_idx,spec_label,total_branches,t_r,t_c,t_v
CMAPSS,20,0.01,3,$\varphi_4$,3,318.3071,11.5444,329.8515
CMAPSS,20,0.01,4,$\varphi_5$,3,318.3071,190.3188,508.6259
CMAPSS,20,0.01,5,$\varphi_6$,3,318.3071,1244.1467,1562.4538
CMAPSS,20,0.05,0,$\varphi_1$,2,254.3046,2044.7151,2299.0197
CMAPSS,20,0.05,1,$\varphi_2$,2,254.3046,11.0788,265.3834
CMAPSS,20,0.05,2,$\varphi_3$,2,254.3046,346.1819,600.4865
CMAPSS,20,0.05,3,$\varphi_4$,2,254.3046,11.0138,265.3184
CMAPSS,20,0.05,4,$\varphi_5$,2,254.3046,182.3189,436.62350000000004
CMAPSS,20,0.05,5,$\varphi_6$,2,254.3046,1197.6925,1451.9971
CMAPSS,20,0.1,0,$\varphi_1$,1,155.1565,1995.6202,2150.7767
CMAPSS,20,0.1,1,$\varphi_2$,1,155.1565,10.8506,166.00709999999998
CMAPSS,20,0.1,2,$\varphi_3$,1,155.1565,338.551,493.7075
CMAPSS,20,0.1,3,$\varphi_4$,1,155.1565,10.7407,165.8972
CMAPSS,20,0.1,4,$\varphi_5$,1,155.1565,178.0061,333.1626
CMAPSS,20,0.1,5,$\varphi_6$,1,155.1565,1170.4769,1325.6334
LIMO,10,0.0,0,$\varphi_1$,8,0.1861,6518.754,6518.9401
LIMO,10,0.0,1,$\varphi_2$,8,0.1861,11.731,11.9171
LIMO,10,0.0,2,$\varphi_3$,8,0.1861,236.0915,236.2776
LIMO,10,0.0,3,$\varphi_4$,8,0.1861,11.9084,12.0945
LIMO,10,0.0,4,$\varphi_5$,8,0.1861,141.2097,141.3958
LIMO,10,0.0,5,$\varphi_6$,8,0.1861,559.96,560.1461
LIMO,10,0.005,0,$\varphi_1$,1,12.5842,1656.7771,1669.3613
LIMO,10,0.005,1,$\varphi_2$,1,12.5842,4.4259,17.0101
LIMO,10,0.005,2,$\varphi_3$,1,12.5842,84.2441,96.8283
LIMO,10,0.005,3,$\varphi_4$,1,12.5842,4.3794,16.9636
LIMO,10,0.005,4,$\varphi_5$,1,12.5842,51.3685,63.95269999999999
LIMO,10,0.005,5,$\varphi_6$,1,12.5842,204.5626,217.1468
LIMO,10,0.01,0,$\varphi_1$,1,12.4942,1632.6087,1645.1029
LIMO,10,0.01,1,$\varphi_2$,1,12.4942,4.2127,16.706899999999997
LIMO,10,0.01,2,$\varphi_3$,1,12.4942,80.31,92.80420000000001
LIMO,10,0.01,3,$\varphi_4$,1,12.4942,4.212,16.7062
LIMO,10,0.01,4,$\varphi_5$,1,12.4942,49.1199,61.6141
LIMO,10,0.01,5,$\varphi_6$,1,12.4942,195.5669,208.0611
LIMO,10,0.05,0,$\varphi_1$,1,11.9553,1576.3483,1588.3036000000002
LIMO,10,0.05,1,$\varphi_2$,1,11.9553,4.225,16.1803
LIMO,10,0.05,2,$\varphi_3$,1,11.9553,80.4458,92.4011
LIMO,10,0.05,3,$\varphi_4$,1,11.9553,4.212,16.167299999999997
LIMO,10,0.05,4,$\varphi_5$,1,11.9553,49.1013,61.0566
LIMO,10,0.05,5,$\varphi_6$,1,11.9553,195.1824,207.1377
LIMO,10,0.1,0,$\varphi_1$,1,12.1812,1573.9947,1586.1759
LIMO,10,0.1,1,$\varphi_2$,1,12.1812,4.2895,16.4707
LIMO,10,0.1,2,$\varphi_3$,1,12.1812,81.507,93.68820000000001
LIMO,10,0.1,3,$\varphi_4$,1,12.1812,4.2824,16.4636
LIMO,10,0.1,4,$\varphi_5$,1,12.1812,49.7364,61.91760000000001
LIMO,10,0.1,5,$\varphi_6$,1,12.1812,197.5903,209.7715
LIMO,15,0.0,0,$\varphi_1$,8,0.4687,508.6064,509.0751
LIMO,15,0.0,1,$\varphi_2$,8,0.4687,33.4255,33.8942
LIMO,15,0.0,2,$\varphi_3$,8,0.4687,989.8744,990.3431
LIMO,15,0.0,3,$\varphi_4$,8,0.4687,30.7488,31.217499999999998
LIMO,15,0.0,4,$\varphi_5$,8,0.4687,3477.4275,3477.8961999999997
LIMO,15,0.0,5,$\varphi_6$,8,0.4687,2401.8607,2402.3294
LIMO,15,0.005,0,$\varphi_1$,1,45.0914,202.2983,247.3897
LIMO,15,0.005,1,$\varphi_2$,1,45.0914,12.3621,57.4535
LIMO,15,0.005,2,$\varphi_3$,1,45.0914,391.515,436.6064
LIMO,15,0.005,3,$\varphi_4$,1,45.0914,12.2076,57.299
LIMO,15,0.005,4,$\varphi_5$,1,45.0914,799.2744,844.3658
LIMO,15,0.005,5,$\varphi_6$,1,45.0914,972.0382,1017.1296
LIMO,15,0.01,0,$\varphi_1$,1,44.6223,202.0037,246.626
LIMO,15,0.01,1,$\varphi_2$,1,44.6223,12.4661,57.08840000000001
LIMO,15,0.01,2,$\varphi_3$,1,44.6223,389.5708,434.1931
LIMO,15,0.01,3,$\varphi_4$,1,44.6223,12.4409,57.0632
