x,y,yaw,v,w,v_cmd,w_cmd
0.7868686,0.98233557,0.47221687,0.85043335,0.41106057,0.0,0.16266036
0.7892092,0.98155236,0.47083265,0.39066648,0.44982105,0.0,0.16266036
0.79155445,0.9807216,0.46955863,0.34925604,0.42454994,0.0,0.175062
0.7939395,0.97984457,0.4678871,0.31385994,0.25381613,0.0,0.13293052
0.7963363,0.978887,0.46587086,0.31277514,0.18818176,0.0,0.13293052
0.7987534,0.97787,0.4638256,0.99366,0.35592228,0.0,0.16602391
0.8011742,0.9768197,0.46221653,0.90671873,0.38134485,0.0,0.15860045
0.80357236,0.97573537,0.4605335,0.41498947,0.2828725,0.0,0.15860045
0.80514616,0.9750011,0.45933282,0.6632247,0.25412786,0.0,0.1761679
0.80750763,0.9738309,0.4574565,0.6661768,0.32956392,0.0,0.1761679
0.8098519,0.9725968,0.45561463,0.37870312,0.2757293,0.0,0.17427099
0.81219554,0.97130966,0.4536108,0.23858213,0.17638612,0.0,0.18867534
0.8144826,0.9700145,0.4514301,0.47354174,0.22767669,0.0,0.18867534
0.81679374,0.9686384,0.44961908,0.20134687,0.35111248,0.0,0.2644469
0.8191004,0.9672113,0.44866967,0.94026756,0.71600205,0.0,0.2644469
0.8214069,0.9657506,0.44802424,0.9726629,0.7484684,0.0,0.26846397
0.823721,0.96428,0.4469384,0.9037032,0.5325117,0.0,0.27298737
0.8260254,0.9627708,0.44526792,0.52676535,0.26908958,0.0,0.25142437
0.828304,0.9612392,0.4435711,0.4879217,0.34956408,0.0,0.25142437
0.83058226,0.9597266,0.44177768,0.51906013,0.2793764,0.0,0.2440663
0.83285034,0.95809853,0.43994182,0.5929351,0.32286733,0.0,0.2440663
0.8351183,0.956407,0.43828356,0.42043686,0.27445984,0.0,0.2514007
0.83737504,0.9546604,0.43670636,0.3512063,0.4281183,0.0,0.26329225
0.83969134,0.95286584,0.43547642,0.7463083,0.54735243,0.0,0.26329225
0.8420071,0.9510386,0.43428123,0.4665165,0.42575186,0.0,0.25800484
0.84348774,0.94986176,0.43320823,0.3095188,0.29088587,0.0,0.25800484
0.84570324,0.9480566,0.431345,0.8465853,0.32669812,0.0,0.22011113
0.8479042,0.94613725,0.42974782,0.8356705,0.37590843,0.0,0.22011113
0.8500779,0.9441931,0.42866874,0.1315031,0.4887635,0.0,0.23664892
0.852217,0.9422469,0.4270653,0.15069914,0.36094844,0.0,0.24645704
0.8543788,0.9402361,0.42522317,0.4938445,0.32976776,0.0,0.24645704
0.85654086,0.93828905,0.42339313,0.46865177,0.26242626,0.0,0.23768473
0.85869634,0.9362021,0.42158973,0.3672657,0.3044548,0.0,0.23768473
0.8608377,0.9340594,0.4198848,0.5568118,0.39120865,0.0,0.2785505
0.86303395,0.9318047,0.41855103,0.73993254,0.48665556,0.0,0.28410625
0.865241,0.92952013,0.41727993,0.59224606,0.50467277,0.0,0.27435017
