Category,Model,#Outputs1,#Outputs2,#Counter,ReachTime1,ReachTime2,VerifyTime,TotalTime
AC,AC-8,145,142,364,0.64,0.39,6.14,7.24
AC,AC-9,56,55,67,0.31,0.24,1.31,1.93
AC,AC-10,1323,1143,239,4.65,3.87,56.30,64.87
BM,BM-6,201,180,596,0.72,0.65,14.73,16.17
GC,GC-3,176,193,1951,0.84,0.99,19.22,21.12
GC,GC-4,36,28,1,0.24,0.14,0.18,0.62
