Spec.,T,p_filter,rho_max,rho_min,t_r,t_c,t_v
$\varphi_1$,20,1e-10,0.9280081963264811,0.9280081919591371,152.10896801948547,209.48210287094116,361.59107089042664
$\varphi_2$,20,1e-10,1.022645550446275e-15,0.0,152.10896801948547,13.10715365409851,165.21612167358398
$\varphi_3$,20,1e-10,0.9289962682052019,0.9289962640299205,152.10896801948547,551.4581670761108,703.5671350955963
$\varphi_4$,20,1e-10,1.022645550446275e-15,0.0,152.10896801948547,13.151081085205078,165.26004910469055
$\varphi_5$,20,1e-10,1.022645550446275e-15,0.0,152.10896801948547,13.248037338256836,165.3570053577423
