T,p_f,spec_idx,spec_label,t_r,t_c,t_v
25,0.01,4,$\varphi_5$,291.101,4.2716,295.3726
25,0.05,4,$\varphi_5$,291.8255,4.5165,296.342
25,0.1,4,$\varphi_5$,282.5382,4.3994,286.93760000000003
10,0.0,5,$\varphi_6$,0.1861,559.96,560.1461
10,0.005,5,$\varphi_6$,12.5842,204.5626,217.1468
10,0.01,5,$\varphi_6$,12.4942,195.5669,208.0611
10,0.05,5,$\varphi_6$,11.9553,195.1824,207.1377
10,0.1,5,$\varphi_6$,12.1812,197.5903,209.7715
15,0.0,5,$\varphi_6$,0.4687,2401.8607,2402.3294
15,0.005,5,$\varphi_6$,45.0914,972.0382,1017.1296
15,0.01,5,$\varphi_6$,44.6223,969.0166,1013.6389
15,0.05,5,$\varphi_6$,44.6539,967.7775,1012.4314
15,0.1,5,$\varphi_6$,44.4568,968.4589,1012.9157
20,0.0,5,$\varphi_6$,3.7855,29178.287,29182.072500000002
20,0.005,5,$\varphi_6$,135.2572,1833.8145,1969.0717
20,0.01,5,$\varphi_6$,129.6286,1181.6774,1311.306
20,0.05,5,$\varphi_6$,138.0469,1176.5319,1314.5788
20,0.1,5,$\varphi_6$,137.7737,1189.7805,1327.5542
25,0.0,5,$\varphi_6$,32.7417,5878.9743,5911.715999999999
25,0.005,5,$\varphi_6$,291.3135,23.8898,315.20329999999996
25,0.01,5,$\varphi_6$,291.101,30.3187,321.4197
25,0.05,5,$\varphi_6$,291.8255,28.3002,320.1257
25,0.1,5,$\varphi_6$,282.5382,29.9149,312.4531
